Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
240401JS971HNX,Completed,SPEPH040739405384,Standard Local-SPX Express,pickup,2024-04-13,2024-04-02,2024-04-01,2024-04-01 12:50,Zara Tweed Coordinates,"Black&White Shorts,L-XL (29-34 inches)",290,290,1
240401K27RNRS1,Completed,788679874344,Standard Local-J&T Express,pickup,2024-04-13,2024-04-09,2024-04-01,2024-04-01 15:30,Barbara Top,"ORANGE,FREESIZE S-L",99,99,1
240401KJ5US9PH,Completed,SPEPH047781235874,Standard Local-SPX Express,pickup,2024-04-25,2024-04-25,2024-04-01,2024-04-01 20:16,Zara Tweed Coordinates,No Variants,5,5,1
240402MVNECYK4,Completed,788655640114,Standard Local-J&T Express,pickup,2024-04-15,2024-04-04,2024-04-02,2024-04-02 08:56,Zara Tweed Coordinates,"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240402NUVVRAG1,Completed,SPEPH047500552064,Standard Local-SPX Express,pickup,2024-04-15,2024-04-04,2024-04-02,2024-04-02 18:05,Zara Tweed Coordinates,"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240402PC5VV99R,Completed,788664712792,Standard Local-J&T Express,pickup,2024-04-26,2024-04-05,2024-04-02,2024-04-02 23:06,Zara Tweed Coordinates,No Variants,5,5,1
240403QSMUB015,Completed,SPEPH043977007494,Standard Local-SPX Express,pickup,2024-04-16,2024-04-04,2024-04-03,2024-04-03 12:40,Ganni Ruched Ribbon Top,"Offwhite,S",180,180,1
240403R9M0RQYN,Completed,788660725488,Standard Local-J&T Express,pickup,2024-04-27,2024-04-05,2024-04-03,2024-04-03 17:16,Zara Tweed Coordinates,No Variants,5,5,1
240403RPBAJDAF,Completed,788670397438,Standard Local-J&T Express,pickup,2024-04-16,2024-04-12,2024-04-03,2024-04-03 21:13,Promise Ring COMPLETE INCLUSION,No Variants,173,173,1
240403RVM2HWMT,Completed,SPEPH043224826444,Standard Local-SPX Express,pickup,2024-04-16,2024-04-04,2024-04-03,2024-04-03 23:06,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240403RXNGUG9R,Completed,SPEPH049825300324,Standard Local-SPX Express,pickup,2024-04-16,2024-04-04,2024-04-03,2024-04-03 23:42,Barbara Top,"Royal blue,FREESIZE S-L",99,99,1
240404TRMTTHSN,Completed,788666058601,Standard Local-J&T Express,pickup,2024-04-17,2024-04-05,2024-04-04,2024-04-04 17:00,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240405V6374TQC,Completed,SPEPH047424794174,Standard Local-SPX Express,pickup,2024-04-18,2024-04-09,2024-04-05,2024-04-05 06:33,Barbara Top,"TAN BROWN,FREESIZE S-L",99,99,1
240405V6374TQC,Completed,SPEPH047424794174,Standard Local-SPX Express,pickup,2024-04-18,2024-04-09,2024-04-05,2024-04-05 06:33,Barbara Top,"PEACH FUZZ,FREESIZE S-L",99,99,1
240405VXG9WQD9,Completed,SPEPH049449505244,Standard Local-SPX Express,pickup,2024-04-19,2024-04-09,2024-04-05,2024-04-05 13:50,Barbara Top,"Royal blue,FREESIZE S-L",99,99,1
2404050BHX5RY3,Completed,SPEPH043171552874,Standard Local-SPX Express,pickup,2024-04-19,2024-04-09,2024-04-05,2024-04-05 18:43,Barbara Top,"Royal blue,FREESIZE S-L",99,99,1
2404050DGHVGCQ,Completed,SPEPH045097921274,Standard Local-SPX Express,pickup,2024-04-19,2024-04-09,2024-04-05,2024-04-05 19:18,Barbara Top,"ORANGE,FREESIZE S-L",99,99,1
2404061Q21A0V3,Completed,SPEPH040842190654,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-06,2024-04-06 07:33,Zara Tweed Coordinates,"Black&White Skirt,L-XL (29-34 inches)",290,290,1
2404061R4GMWND,Completed,788677777548,Standard Local-J&T Express,pickup,2024-04-20,2024-04-08,2024-04-06,2024-04-06 07:51,Zara Tweed Coordinates,"Black&White Skirt,L-XL (29-34 inches)",290,290,1
2404062H2H79QC,Completed,SPEPH042486065104,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-06,2024-04-06 15:27,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
2404062RVXYM42,Completed,SPEPH043318776594,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-06,2024-04-06 17:47,Barbara Top,"PEACH FUZZ,FREESIZE S-L",99,99,1
2404074EP8B3VN,Completed,788680183502,Standard Local-J&T Express,pickup,2024-04-20,2024-04-08,2024-04-07,2024-04-07 09:50,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
2404074QKE1WE9,Completed,SPEPH048364070924,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-07,2024-04-07 12:29,Barbara Top,"Royal blue,FREESIZE S-L",99,99,1
2404074RQMR1FH,Completed,SPEPH047648824714,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-07,2024-04-07 12:50,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
24040750E5GR0F,Completed,788682829575,Standard Local-J&T Express,pickup,2024-04-20,2024-04-08,2024-04-07,2024-04-07 15:07,Zara Tweed Coordinates,"Black&White Skirt,L-XL (29-34 inches)",290,290,1
240407530YT04F,Completed,SPEPH040318257184,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-07,2024-04-07 15:54,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
2404075M7E69CU,Completed,SPEPH048386211624,Standard Local-SPX Express,pickup,2024-04-20,2024-04-09,2024-04-07,2024-04-07 21:02,Barbara Top,"Offwhite,FREESIZE S-L",99,99,2
2404086WMN6352,Completed,SPEPH043354935744,Standard Local-SPX Express,pickup,2024-04-22,2024-04-09,2024-04-08,2024-04-08 09:23,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240408758PUR7A,Completed,SPEPH047399534244,Standard Local-SPX Express,pickup,2024-04-22,2024-04-09,2024-04-08,2024-04-08 11:39,Zara Tweed Coordinates,"Black&White Shorts,XS-M (21-28 inches)",290,290,1
2404087GNDVMMY,Completed,788684631318,Standard Local-J&T Express,pickup,2024-04-22,2024-04-09,2024-04-08,2024-04-08 15:03,Barbara Top,"Skintone,FREESIZE S-L",99,99,1
2404087HFVQXXA,Completed,788683034275,Standard Local-J&T Express,pickup,2024-04-22,2024-04-09,2024-04-08,2024-04-08 15:18,Barbara Top,"PEACH FUZZ,FREESIZE S-L",99,99,2
24040882QM3YK6,Completed,SPEPH042636938964,Standard Local-SPX Express,pickup,2024-04-22,2024-04-09,2024-04-08,2024-04-08 20:26,Zara Tweed Coordinates,"Black&White Short,XS-M (21-28 inches)",290,290,1
2404099YU0J7VJ,Completed,SPEPH041939222034,Standard Local-SPX Express,pickup,2024-04-25,2024-04-22,2024-04-09,2024-04-09 14:40,Zara Tweed Coordinates,"Blue Skirt(New),XS-M (21-28 inches)",290,290,1
240409A9G43MDY,Completed,SPEPH046983859564,Standard Local-SPX Express,pickup,2024-04-18,2024-04-10,2024-04-09,2024-04-09 17:33,PLAIN MIDI SKIRT 22-30 INCHES (WITH & WITHOUT SLIT),"BLACK,NO SLIT",149,149,1
240409AADXR36Y,Completed,SPEPH040023466114,Standard Local-SPX Express,pickup,2024-04-22,2024-04-10,2024-04-09,2024-04-09 17:50,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240409ADDEBES2,Completed,788688178489,Standard Local-J&T Express,pickup,2024-04-22,2024-04-10,2024-04-09,2024-04-09 18:43,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240410BSDYTFUA,Completed,SPEPH049329382094,Standard Local-SPX Express,pickup,2024-04-22,2024-04-10,2024-04-10,2024-04-10 07:51,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240410CQTKXTAX,Completed,788693632488,Standard Local-J&T Express,pickup,2024-04-22,2024-04-12,2024-04-10,2024-04-10 16:55,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240410CQTKXTAX,Completed,788693632488,Standard Local-J&T Express,pickup,2024-04-22,2024-04-12,2024-04-10,2024-04-10 16:55,Barbara Top,"Skintone,FREESIZE S-L",99,99,1
240410D17H4PT0,Completed,SPEPH046886927864,Standard Local-SPX Express,pickup,2024-04-22,2024-04-12,2024-04-10,2024-04-10 19:43,Barbara Top,"Offwhite,FREESIZE S-L",99,99,1
240411EFYGRCYP,Completed,SPEPH048948929634,Standard Local-SPX Express,pickup,2024-04-23,2024-04-12,2024-04-11,2024-04-11 09:40,Zara Tweed Coordinates,"Black Skirt,L-XL (29-34 inches)",290,290,1
