Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
240401JS971HNX,Completed,SPEPH040739405384,Standard Local-SPX Express,pickup,2024-04-13 12:50,2024-04-02 11:34,2024-04-01 12:40,2024-04-01 12:50,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL (29-34 inches)",290,290,1
240401K27RNRS1,Completed,788679874344,Standard Local-J&T Express,pickup,2024-04-13 15:30,2024-04-09 13:10,2024-04-01 15:20,2024-04-01 15:30,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"ORANGE,FREESIZE S-L",99,99,1
240401KJ5US9PH,Completed,SPEPH047781235874,Standard Local-SPX Express,pickup,2024-04-25 20:16,2024-04-25 13:15,2024-04-01 20:05,2024-04-01 20:16,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
240402MVNECYK4,Completed,788655640114,Standard Local-J&T Express,pickup,2024-04-15 08:56,2024-04-04 13:36,2024-04-02 08:46,2024-04-02 08:56,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240402NUVVRAG1,Completed,SPEPH047500552064,Standard Local-SPX Express,pickup,2024-04-15 18:05,2024-04-04 19:06,2024-04-02 18:05,2024-04-02 18:05,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240402PC5VV99R,Completed,788664712792,Standard Local-J&T Express,pickup,2024-04-26 23:06,2024-04-05 12:02,2024-04-02 22:56,2024-04-02 23:06,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
240403QSMUB015,Completed,SPEPH043977007494,Standard Local-SPX Express,pickup,2024-04-16 12:40,2024-04-04 19:06,2024-04-03 12:30,2024-04-03 12:40,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,S",180,180,1
240403R9M0RQYN,Completed,788660725488,Standard Local-J&T Express,pickup,2024-04-27 17:16,2024-04-05 14:31,2024-04-03 17:16,2024-04-03 17:16,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
240403RH7UNQ65,Completed,SPEPH049628616664,Standard Local-SPX Express,pickup,2024-04-27 19:42,2024-04-04 19:06,2024-04-03 19:32,2024-04-03 19:42,FREEBIES FOR BUYERS ONLY,,5,5,1
240403RPBAJDAF,Completed,788670397438,Standard Local-J&T Express,pickup,2024-04-16 21:13,2024-04-12 14:14,2024-04-03 21:03,2024-04-03 21:13,PRA RING COMPLETE INCLUSION,,173,173,1
240403RVM2HWMT,Completed,SPEPH043224826444,Standard Local-SPX Express,pickup,2024-04-16 23:06,2024-04-04 19:06,2024-04-03 22:56,2024-04-03 23:06,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240403RXNGUG9R,Completed,SPEPH049825300324,Standard Local-SPX Express,pickup,2024-04-16 23:42,2024-04-04 19:06,2024-04-03 23:32,2024-04-03 23:42,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Royal blue,FREESIZE S-L",99,99,1
240404TRMTTHSN,Completed,788666058601,Standard Local-J&T Express,pickup,2024-04-17 17:00,2024-04-05 12:02,2024-04-04 16:50,2024-04-04 17:00,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240404TVB9NDWE,Completed,788669957920,Standard Local-J&T Express,pickup,2024-04-29 17:56,2024-04-05 12:03,2024-04-04 17:56,2024-04-04 17:56,FREEBIES FOR BUYERS ONLY (2),,5,5,1
240404U3J2Y1D9,Completed,788679915833,Standard Local-J&T Express,pickup,2024-04-29 20:15,2024-04-08 13:38,2024-04-04 20:05,2024-04-04 20:15,FREEBIES FOR BUYERS ONLY,,5,5,1
240405V6374TQC,Completed,SPEPH047424794174,Standard Local-SPX Express,pickup,2024-04-18 06:33,2024-04-09 13:06,2024-04-05 06:23,2024-04-05 06:33,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"TAN BROWN,FREESIZE S-L",99,99,1
240405V6374TQC,Completed,SPEPH047424794174,Standard Local-SPX Express,pickup,2024-04-18 06:33,2024-04-09 13:06,2024-04-05 06:23,2024-04-05 06:33,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"PEACH FUZZ,FREESIZE S-L",99,99,1
240405VXG9WQD9,Completed,SPEPH049449505244,Standard Local-SPX Express,pickup,2024-04-19 13:50,2024-04-09 13:07,2024-04-05 13:40,2024-04-05 13:50,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Royal blue,FREESIZE S-L",99,99,1
2404050BHX5RY3,Completed,SPEPH043171552874,Standard Local-SPX Express,pickup,2024-04-19 18:43,2024-04-09 13:07,2024-04-05 18:33,2024-04-05 18:43,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Royal blue,FREESIZE S-L",99,99,1
2404050DGHVGCQ,Completed,SPEPH045097921274,Standard Local-SPX Express,pickup,2024-04-19 19:18,2024-04-09 13:07,2024-04-05 19:08,2024-04-05 19:18,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"ORANGE,FREESIZE S-L",99,99,1
2404061Q21A0V3,Completed,SPEPH040842190654,Standard Local-SPX Express,pickup,2024-04-20 07:33,2024-04-09 13:06,2024-04-06 07:32,2024-04-06 07:33,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,L-XL (29-34 inches)",290,290,1
2404061R4GMWND,Completed,788677777548,Standard Local-J&T Express,pickup,2024-04-20 07:51,2024-04-08 13:38,2024-04-06 07:51,2024-04-06 07:51,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black&White Skirt,L-XL (29-34 inches)",290,290,1
2404062H2H79QC,Completed,SPEPH042486065104,Standard Local-SPX Express,pickup,2024-04-20 15:27,2024-04-09 13:07,2024-04-06 15:17,2024-04-06 15:27,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
