Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
24080144BAP63C,Completed,772058077294,Standard Local-J&T Express,Drop-off,2024-08-27 00:22,2024-08-02 14:06,2024-08-01 00:21,2024-08-01 00:22,FREEBIES FOR BUYERS ONLY (2),,5,5,1
24080144HF459D,Completed,SPEPH041761021958,Standard Local-SPX Express,pickup,2024-08-09 00:35,2024-08-03 12:49,2024-08-01 00:25,2024-08-01 00:35,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Pink shorts,L-XL (29-34 inches)",290,290,1
2408014JC25GGP,Completed,789002667291,Standard Local-J&T Express,pickup,2024-08-27 04:33,2024-08-02 17:12,2024-08-01 04:32,2024-08-01 04:33,FREEBIES FOR BUYERS ONLY,,5,5,1
2408014JP2JQ20,Completed,772059732206,Standard Local-J&T Express,Drop-off,2024-08-27 04:38,2024-08-02 14:06,2024-08-01 04:38,2024-08-01 04:38,FREEBIES FOR BUYERS ONLY,,5,5,1
2408014KBK5YXD,Completed,788993097856,Standard Local-J&T Express,pickup,2024-08-27 04:50,2024-08-02 13:05,2024-08-01 04:50,2024-08-01 04:50,FREEBIES FOR BUYERS ONLY,,5,5,1
2408014KGP9AJ2,Completed,SPEPH043072860988,Standard Local-SPX Express,pickup,2024-08-09 05:03,2024-08-03 12:49,2024-08-01 04:53,2024-08-01 05:03,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink shorts,XS-M (21-28 inches)",290,290,1
2408014S7C7K2B,Completed,789000248260,Standard Local-J&T Express,pickup,2024-08-27 06:36,2024-08-02 13:05,2024-08-01 06:35,2024-08-01 06:36,FREEBIES FOR BUYERS ONLY,,5,5,1
2408014XPUF2KA,Completed,788994600510,Standard Local-J&T Express,pickup,2024-08-27 08:14,2024-08-02 13:05,2024-08-01 08:13,2024-08-01 08:14,FREEBIES FOR BUYERS ONLY,,5,5,1
24080159U5M5FC,Completed,789003967950,Standard Local-J&T Express,pickup,2024-08-27 11:33,2024-08-02 17:12,2024-08-01 11:32,2024-08-01 11:33,FREEBIES FOR BUYERS ONLY (2),,5,5,1
24080159WMTMBD,Completed,789004511950,Standard Local-J&T Express,pickup,2024-08-27 11:34,2024-08-02 17:12,2024-08-01 11:34,2024-08-01 11:34,FREEBIES FOR BUYERS ONLY (2),,5,5,1
2408015PJ7VJXN,Completed,789004848824,Standard Local-J&T Express,pickup,2024-08-27 15:30,2024-08-05 11:04,2024-08-01 15:20,2024-08-01 15:30,FREEBIES FOR BUYERS ONLY (2),,5,5,1
24080162FAG8BV,Completed,PH2433061967859,Standard Local-SPX Express,pickup,2024-08-27 19:03,2024-08-03 12:49,2024-08-01 18:53,2024-08-01 19:03,FREEBIES FOR BUYERS ONLY,,5,5,1
24080169SWU014,Completed,789001427085,Standard Local-J&T Express,pickup,2024-08-02 21:14,2024-08-02 17:12,2024-08-01 21:04,2024-08-01 21:14,50ML RESELLER PACKAGE ANNEY PERFUME,,760,760,1
2408016AX1P9A0,Completed,789001851244,Standard Local-J&T Express,pickup,2024-08-27 21:26,2024-08-02 14:51,2024-08-01 21:25,2024-08-01 21:26,FREEBIES FOR BUYERS ONLY,,5,5,1
2408016GJ4R56Y,Completed,789003686712,Standard Local-J&T Express,pickup,2024-08-09 23:06,2024-08-05 11:04,2024-08-01 23:05,2024-08-01 23:06,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink shorts,L-XL (29-34 inches)",290,290,1
24080270VSBK7A,Completed,SPEPH047283354048,Standard Local-SPX Express,Drop-off,2024-08-13 03:58,2024-08-12 19:00,2024-08-02 03:58,2024-08-02 03:58,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"BLUE SKIRT,XS-M (21-28 inches)",290,290,1
2408027UR2MC11,Completed,789001768229,Standard Local-J&T Express,pickup,2024-08-28 12:01,2024-08-02 14:06,2024-08-02 11:58,2024-08-02 12:01,FREEBIES FOR BUYERS ONLY,,5,5,1
2408027VG91ANK,Completed,788999955172,Standard Local-J&T Express,pickup,2024-08-28 12:22,2024-08-02 14:51,2024-08-02 12:12,2024-08-02 12:22,FREEBIES FOR BUYERS ONLY (2),,5,5,1
240803956EUG32,Completed,PH247353686902O,Standard Local-SPX Express,pickup,2024-08-12 00:30,2024-08-03 12:49,2024-08-03 00:20,2024-08-03 00:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink shorts,L-XL (29-34 inches)",290,290,1
2408039E4UMJ6N,Completed,SPEPH040383105948,Standard Local-SPX Express,Drop-off,2024-08-12 03:10,2024-08-12 19:00,2024-08-03 03:00,2024-08-03 03:10,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,XS-M (21-28 inches)",290,290,1
2408039G475WU5,Completed,SPEPH044599354648,Standard Local-SPX Express,Drop-off,2024-08-12 03:46,2024-08-12 19:00,2024-08-03 03:35,2024-08-03 03:46,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"BLUE SKIRT,XS-M (21-28 inches)",290,290,1
2408039YVTR5W8,Completed,PH241023603046S,Standard Local-SPX Express,pickup,2024-08-29 08:28,2024-08-05 12:39,2024-08-03 08:18,2024-08-03 08:28,FREEBIES FOR BUYERS ONLY,,5,5,1
240803A099D1YX,Completed,SPEPH046412094698,Standard Local-SPX Express,Drop-off,2024-08-12 08:35,2024-08-12 19:00,2024-08-03 08:25,2024-08-03 08:35,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240803A099D1YX,Completed,SPEPH046412094698,Standard Local-SPX Express,Drop-off,2024-08-12 08:35,2024-08-12 19:00,2024-08-03 08:25,2024-08-03 08:35,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL (29-34 inches)",290,290,1
240803A099D1YX,Completed,SPEPH046412094698,Standard Local-SPX Express,Drop-off,2024-08-12 08:35,2024-08-12 19:00,2024-08-03 08:25,2024-08-03 08:35,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White Shorts,L-XL (29-34 inches)",290,290,1
240803A1H7B3AW,Completed,SPEPH042578540088,Standard Local-SPX Express,pickup,2024-08-12 08:57,2024-08-03 12:49,2024-08-03 08:47,2024-08-03 08:57,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink shorts,XS-M (21-28 inches)",290,290,1
240803A4FDW53Q,Completed,P11115SR2U3AB,Standard Local-Flash Express,pickup,2024-08-29 09:50,2024-08-05 13:45,2024-08-03 09:40,2024-08-03 09:50,FREEBIES FOR BUYERS ONLY,,5,5,1
240803A715V4PT,Completed,SPEPH048505856118,Standard Local-SPX Express,Drop-off,2024-08-12 10:35,2024-08-14 12:35,2024-08-03 10:25,2024-08-03 10:35,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"PINK SKIRT,L-XL (29-34 inches)",290,290,1
240803A72JPEXY,Completed,PH247834125097D,Standard Local-SPX Express,pickup,2024-08-29 10:36,2024-08-06 13:24,2024-08-03 10:26,2024-08-03 10:36,FREEBIES FOR BUYERS ONLY,,5,5,1
240803AA5W7BH4,Completed,SPEPH042739963978,Standard Local-SPX Express,pickup,2024-08-29 11:32,2024-08-05 12:39,2024-08-03 11:22,2024-08-03 11:32,FREEBIES FOR BUYERS ONLY,,5,5,1
240803AC4NNYQA,Completed,P14055SS6BTAP,Standard Local-Flash Express,pickup,2024-08-29 12:07,2024-08-05 13:45,2024-08-03 11:57,2024-08-03 12:07,FREEBIES FOR BUYERS ONLY,,5,5,1
240803AN6D96V3,Completed,SPEPH048254620028,Standard Local-SPX Express,Drop-off,2024-08-12 14:49,2024-08-12 19:00,2024-08-03 14:39,2024-08-03 14:49,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"BLUE SKIRT,L-XL (29-34 inches)",290,290,1
240803ANT8EEEN,Completed,PH241926187841E,Standard Local-SPX Express,Drop-off,2024-08-12 15:00,2024-08-12 19:00,2024-08-03 14:50,2024-08-03 15:00,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL (29-34 inches)",290,290,1
240803APV01GU2,Completed,SPEPH041512443658,Standard Local-SPX Express,pickup,2024-08-05 15:19,2024-08-05 12:39,2024-08-03 15:09,2024-08-03 15:19,ASSORTED TOPS (JOYCE MAE),,207,207,1
240803APXVHQG5,Completed,PH243817052702D,Standard Local-SPX Express,pickup,2024-08-12 15:20,2024-08-08 13:05,2024-08-03 15:10,2024-08-03 15:20,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink shorts,XS-M (21-28 inches)",290,290,1
240803AQ1T0UA1,Completed,SPEPH049120634478,Standard Local-SPX Express,pickup,2024-08-15 15:22,2024-08-13 12:28,2024-08-03 15:12,2024-08-03 15:22,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White Shorts,L-XL (29-34 inches)",290,290,1
240803AR704MTV,Completed,SPEPH040654291918,Standard Local-SPX Express,Drop-off,2024-08-12 15:43,2024-08-12 19:00,2024-08-03 15:33,2024-08-03 15:43,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL (29-34 inches)",290,290,1
240803AW9JEUQ7,Completed,P40075SSSMAAQ,Standard Local-Flash Express,pickup,2024-08-05 17:14,2024-08-05 13:45,2024-08-03 17:04,2024-08-03 17:14,ASSORTED TOPS (GWENDOLINE KATE),,679,679,1
240803AX74G4R5,Completed,P04145XA8NHBA,Standard Local-Flash Express,pickup,2024-08-12 17:30,2024-08-13 14:04,2024-08-03 17:20,2024-08-03 17:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White/Black Skirt,XS-M (21-28 inches)",290,290,1
240803B1M9RRMV,Completed,789006067060,Standard Local-J&T Express,pickup,2024-08-29 18:31,2024-08-05 15:10,2024-08-03 18:21,2024-08-03 18:31,FREEBIES FOR BUYERS ONLY,,5,5,1
