Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
240201C83GX0JD,Completed,SPEPH042696818242,Standard Local-SPX Express,pickup,2024-02-14 01:33,2024-02-09 11:58,2024-02-01 01:23,2024-02-01 01:33,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,M",169,169,1
240201CQESB69N,Completed,SPEPH043014472972,Standard Local-SPX Express,pickup,2024-02-14 06:08,2024-02-14 11:35,2024-02-01 05:58,2024-02-01 06:08,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL (29-34 inches)",290,290,1
240201D8TS3YQB,Completed,SPEPH040467883372,Standard Local-SPX Express,pickup,2024-02-14 11:19,2024-02-12 13:12,2024-02-01 11:09,2024-02-01 11:19,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,S",169,169,1
240201D8TS3YQB,Completed,SPEPH040467883372,Standard Local-SPX Express,pickup,2024-02-14 11:19,2024-02-12 13:12,2024-02-01 11:09,2024-02-01 11:19,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,S",169,169,1
240201DCYGRH7B,Completed,788443277977,Standard Local-J&T Express,pickup,2024-02-14 12:33,2024-02-12 12:36,2024-02-01 12:23,2024-02-01 12:33,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Black,S",169,169,1
240201DCYGRH7B,Completed,788443277977,Standard Local-J&T Express,pickup,2024-02-14 12:33,2024-02-12 12:36,2024-02-01 12:23,2024-02-01 12:33,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,S",169,169,1
240201DCYGRH7B,Completed,788443277977,Standard Local-J&T Express,pickup,2024-02-14 12:33,2024-02-12 12:36,2024-02-01 12:23,2024-02-01 12:33,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,S",169,169,1
240201DCYGRH7B,Completed,788443277977,Standard Local-J&T Express,pickup,2024-02-14 12:33,2024-02-12 12:36,2024-02-01 12:23,2024-02-01 12:33,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,S",169,169,1
240201DN27JY4N,Completed,SPEPH043520890872,Standard Local-SPX Express,pickup,2024-02-14 14:58,2024-02-12 13:10,2024-02-01 14:48,2024-02-01 14:58,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Black,L",169,169,1
240201DSD2PY7H,Completed,SPEPH046083685182,Standard Local-SPX Express,pickup,2024-02-14 16:16,2024-02-12 13:10,2024-02-01 16:05,2024-02-01 16:16,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Choco,FREESIZE S-L",99,99,1
240201E6FN2RPU,Completed,SPEPH043681417342,Standard Local-SPX Express,pickup,2024-02-14 20:10,2024-02-12 13:10,2024-02-01 20:00,2024-02-01 20:10,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Skintone,FREESIZE S-L",99,99,1
240201E76R742E,Completed,SPEPH041831834042,Standard Local-SPX Express,pickup,2024-02-14 20:23,2024-02-12 13:10,2024-02-01 20:12,2024-02-01 20:23,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,S",169,169,1
240201EGCWVEG8,Completed,SPEPH046541037542,Standard Local-SPX Express,pickup,2024-02-14 23:07,2024-02-12 13:10,2024-02-01 22:57,2024-02-01 23:07,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,S",169,169,1
240202EM10GMX3,Completed,788450113776,Standard Local-J&T Express,pickup,2024-02-15 00:02,2024-02-14 13:04,2024-02-02 00:02,2024-02-02 00:02,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Nude,M",169,169,1
240202EM5S30BQ,Completed,SPEPH048396541872,Standard Local-SPX Express,pickup,2024-02-15 00:15,2024-02-12 13:10,2024-02-02 00:05,2024-02-02 00:15,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,L",169,169,1
240202EN061SJK,Completed,SPEPH046718467642,Standard Local-SPX Express,pickup,2024-02-15 00:29,2024-02-12 13:11,2024-02-02 00:19,2024-02-02 00:29,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,S",169,169,1
240202ESMAR4HG,Completed,SPEPH042130134652,Standard Local-SPX Express,pickup,2024-02-15 01:42,2024-02-14 11:35,2024-02-02 01:42,2024-02-02 01:42,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Black,L",169,169,1
240202FC5NDW6D,Completed,SPEPH042352495322,Standard Local-SPX Express,pickup,2024-02-15 07:24,2024-02-12 13:11,2024-02-02 07:14,2024-02-02 07:24,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Choco,FREESIZE S-L",99,99,1
240202FYER8KT6,Completed,788447910022,Standard Local-J&T Express,pickup,2024-02-15 13:09,2024-02-14 13:04,2024-02-02 12:59,2024-02-02 13:09,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,S",169,169,1
240202FYER8KT6,Completed,788447910022,Standard Local-J&T Express,pickup,2024-02-15 13:09,2024-02-14 13:04,2024-02-02 12:59,2024-02-02 13:09,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,S",169,169,1
240202FYU32U6U,Completed,788447125363,Standard Local-J&T Express,pickup,2024-02-15 13:16,2024-02-14 13:04,2024-02-02 13:06,2024-02-02 13:16,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,L",169,169,1
240202G38HVFYF,Completed,SPEPH046484241492,Standard Local-SPX Express,pickup,2024-02-15 14:17,2024-02-14 11:35,2024-02-02 14:07,2024-02-02 14:17,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,L",169,169,1
240202G63N9YVM,Completed,788444252223,Standard Local-J&T Express,pickup,2024-02-15 15:08,2024-02-14 13:04,2024-02-02 14:58,2024-02-02 15:08,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,M",169,169,1
240202G8KYEJ6K,Completed,SPEPH049775813852,Standard Local-SPX Express,pickup,2024-02-15 15:53,2024-02-12 13:10,2024-02-02 15:43,2024-02-02 15:53,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL (29-34 inches)",290,290,1
240202G8R4011E,Completed,SPEPH040935564722,Standard Local-SPX Express,pickup,2024-02-15 15:55,2024-02-14 11:34,2024-02-02 15:45,2024-02-02 15:55,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Black,M",169,169,1
240202G8TG9J7X,Completed,SPEPH040886167492,Standard Local-SPX Express,pickup,2024-02-15 15:57,2024-02-14 11:35,2024-02-02 15:47,2024-02-02 15:57,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,S",169,169,1
240202GA146USR,Completed,SPEPH045852579962,Standard Local-SPX Express,pickup,2024-02-15 16:18,2024-02-14 11:35,2024-02-02 16:08,2024-02-02 16:18,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,S",169,169,1
240202GA146USR,Completed,SPEPH045852579962,Standard Local-SPX Express,pickup,2024-02-15 16:18,2024-02-14 11:35,2024-02-02 16:08,2024-02-02 16:18,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,S",169,169,1
240202GC6VSKE5,Completed,SPEPH044888573792,Standard Local-SPX Express,pickup,2024-02-15 16:57,2024-02-14 11:35,2024-02-02 16:47,2024-02-02 16:57,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,M",169,169,1
240202GCW8Y94K,Completed,788450730285,Standard Local-J&T Express,pickup,2024-02-15 17:00,2024-02-14 13:04,2024-02-02 17:00,2024-02-02 17:00,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,M",169,169,1
240202GD8DPM9K,Completed,SPEPH042426390272,Standard Local-SPX Express,pickup,2024-02-18 17:16,2024-02-15 11:33,2024-02-02 17:06,2024-02-02 17:16,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Cherry red,S",169,169,1
240202GDK51WBG,Completed,SPEPH042839603882,Standard Local-SPX Express,pickup,2024-02-18 17:22,2024-02-15 11:34,2024-02-02 17:12,2024-02-02 17:22,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Blush pink,L",169,169,1
240202GE9PWJWD,Completed,788433046176,Standard Local-J&T Express,pickup,2024-02-15 17:35,2024-02-12 12:36,2024-02-02 17:25,2024-02-02 17:35,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
