Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
240101PGS4YPWD,Completed,SPEPH041129166641,Standard Local-SPX Express,pickup,2024-01-25 10:15,2024-01-17 15:03,2024-01-01 10:05,2024-01-01 10:15,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
240101PNUS760C,Completed,788259471051,Standard Local-J&T Express,pickup,2024-01-25 11:46,2024-01-13 11:21,2024-01-01 11:36,2024-01-01 11:46,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Mocha,FREESIZE S-L",99,99,1
240101PYC4479E,Completed,788293611620,Standard Local-J&T Express,pickup,2024-01-25 14:36,2024-01-17 13:03,2024-01-01 14:26,2024-01-01 14:36,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
240101PYEWSHWG,Completed,788260070494,Standard Local-J&T Express,pickup,2024-01-25 14:38,2024-01-13 11:21,2024-01-01 14:28,2024-01-01 14:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
240101QFPQR4NG,Completed,SPEPH041730223341,Standard Local-SPX Express,pickup,2024-01-25 19:29,2024-01-24 13:14,2024-01-01 19:19,2024-01-01 19:29,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,L-XL (29-34 inches)",290,290,1
240102R855K65A,Completed,SPEPH048376925361,Standard Local-SPX Express,pickup,2024-01-25 02:46,2024-01-13 16:33,2024-01-02 02:36,2024-01-02 02:46,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
240102S0MUC651,Completed,SPEPH042031347571,Standard Local-SPX Express,pickup,2024-01-25 10:04,2024-01-26 12:29,2024-01-02 09:54,2024-01-02 10:04,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240102S7DAV5GU,Completed,788330849621,Standard Local-J&T Express,pickup,2024-01-25 12:05,2024-01-24 12:48,2024-01-02 11:55,2024-01-02 12:05,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240102S99PYY49,Completed,SPEPH043309903821,Standard Local-SPX Express,pickup,2024-01-25 12:39,2024-01-17 15:03,2024-01-02 12:29,2024-01-02 12:39,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
240102SME3XU6T,Completed,788333052843,Standard Local-J&T Express,pickup,2024-01-25 15:59,2024-01-24 12:48,2024-01-02 15:49,2024-01-02 15:59,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Mocha,FREESIZE S-L",99,99,1
240102T154BMRM,Completed,788342212099,Standard Local-J&T Express,pickup,2024-01-25 19:46,2024-01-27 10:48,2024-01-02 19:36,2024-01-02 19:46,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Royal blue,FREESIZE S-L",99,99,1
240102T8DH40QW,Completed,788343259261,Standard Local-J&T Express,pickup,2024-01-25 21:56,2024-01-25 14:39,2024-01-02 21:46,2024-01-02 21:56,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240103U7HJQNDD,Completed,SPEPH049233700541,Standard Local-SPX Express,pickup,2024-01-26 07:13,2024-01-26 12:29,2024-01-03 07:03,2024-01-03 07:13,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240104153315M7,Completed,788353284546,Standard Local-J&T Express,pickup,2024-01-27 12:07,2024-01-28 11:47,2024-01-04 11:57,2024-01-04 12:07,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Avocado,FREESIZE S-L",99,99,1
240104153315M7,Completed,788353284546,Standard Local-J&T Express,pickup,2024-01-27 12:07,2024-01-28 11:47,2024-01-04 11:57,2024-01-04 12:07,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Old rose,FREESIZE S-L",99,99,1
240104153315M7,Completed,788353284546,Standard Local-J&T Express,pickup,2024-01-27 12:07,2024-01-28 11:47,2024-01-04 11:57,2024-01-04 12:07,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Royal blue,FREESIZE S-L",99,99,1
2401052TCQN4CQ,Completed,SPEPH043676811671,Standard Local-SPX Express,pickup,2024-01-29 04:01,2024-01-24 13:14,2024-01-05 03:51,2024-01-05 04:01,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL (29-34 inches)",290,290,1
2401053606892R,Completed,SPEPH040691262631,Standard Local-SPX Express,pickup,2024-01-29 07:28,2024-01-28 10:24,2024-01-05 07:18,2024-01-05 07:28,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
2401053606892R,Completed,SPEPH040691262631,Standard Local-SPX Express,pickup,2024-01-29 07:28,2024-01-28 10:24,2024-01-05 07:18,2024-01-05 07:28,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Old rose,FREESIZE S-L",99,99,2
2401053UR2JR6V,Completed,788262899285,Standard Local-J&T Express,pickup,2024-01-29 13:49,2024-01-13 11:21,2024-01-05 13:47,2024-01-05 13:49,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
240105495E5842,Completed,788250643331,Standard Local-J&T Express,pickup,2024-01-13 17:58,2024-01-11 12:41,2024-01-05 17:48,2024-01-05 17:58,10 PCS ZARA STRAPPY BUNDLE (RANDOM COLORS/FREESIZE),,400,400,1
2401054CQTC0EN,Completed,788336653877,Standard Local-J&T Express,pickup,2024-01-29 19:02,2024-01-29 13:00,2024-01-05 18:52,2024-01-05 19:02,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1
2401054FM2XU8G,Completed,SPEPH041562137331,Standard Local-SPX Express,pickup,2024-01-29 19:53,2024-01-17 15:03,2024-01-05 19:43,2024-01-05 19:53,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
24010673H1AFYX,Completed,788318866785,Standard Local-J&T Express,pickup,2024-01-30 20:45,2024-01-22 14:05,2024-01-06 20:45,2024-01-06 20:45,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
240106755SB79M,Completed,SPEPH040948214531,Standard Local-SPX Express,pickup,2024-01-30 21:24,2024-01-13 16:33,2024-01-06 21:14,2024-01-06 21:24,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
2401078BW3W47W,Completed,SPEPH041640295151,Standard Local-SPX Express,pickup,2024-01-30 08:57,2024-01-13 16:33,2024-01-07 08:47,2024-01-07 08:57,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
