Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
240701E4GNY2YH,Completed,SPEPH040576380537,Standard Local-SPX Express,pickup,2024-07-12 06:41,2024-07-03 13:31,2024-07-01 06:31,2024-07-01 06:41,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White Shorts,XS-M (21-28 inches)",290,290,1
240701EBCWNP57,Completed,788912519293,Standard Local-J&T Express,pickup,2024-07-24 08:44,2024-07-02 11:11,2024-07-01 08:34,2024-07-01 08:44,FREEBIES FOR BUYERS ONLY,,5,5,1
240701EMD6GUEA,Completed,788915797938,Standard Local-J&T Express,pickup,2024-07-24 11:17,2024-07-08 16:21,2024-07-01 11:15,2024-07-01 11:17,FREEBIES FOR BUYERS ONLY,,5,5,1
240701EU79FTX9,Completed,SPEPH041333647877,Standard Local-SPX Express,pickup,2024-07-24 13:27,2024-07-02 13:28,2024-07-01 13:17,2024-07-01 13:27,FREEBIES FOR BUYERS ONLY,,5,5,1
240701EUP7BH89,Completed,788918764130,Standard Local-J&T Express,pickup,2024-07-24 13:36,2024-07-04 17:42,2024-07-01 13:26,2024-07-01 13:36,FREEBIES FOR BUYERS ONLY,,5,5,1
240701EXN2U3EM,Completed,P400758K5X4AQ,Standard Local-Flash Express,pickup,2024-07-02 14:29,2024-07-02 14:04,2024-07-01 14:19,2024-07-01 14:29,ASSORTED ITEMS Checkout (GWENDOLINE KATE),,276,276,1
240701F0005UA9,Completed,788921679754,Standard Local-J&T Express,pickup,2024-07-24 14:53,2024-07-05 15:01,2024-07-01 14:43,2024-07-01 14:53,FREEBIES FOR BUYERS ONLY,,5,5,1
240701F224CHQ9,Completed,788914698626,Standard Local-J&T Express,pickup,2024-07-24 15:30,2024-07-02 16:08,2024-07-01 15:20,2024-07-01 15:30,FREEBIES FOR BUYERS ONLY,,5,5,1
240701F2FT471M,Completed,SPEPH046820877387,Standard Local-SPX Express,pickup,2024-07-24 15:37,2024-07-02 13:28,2024-07-01 15:27,2024-07-01 15:37,FREEBIES FOR BUYERS ONLY (2),,5,5,1
240701FM8ADBKP,Completed,SPEPH042686204787,Standard Local-SPX Express,pickup,2024-07-12 20:55,2024-07-03 13:31,2024-07-01 20:45,2024-07-01 20:55,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,XS-M (21-28 inches)",290,290,1
240702H2B7RB8Y,Completed,788912388507,Standard Local-J&T Express,pickup,2024-07-25 10:40,2024-07-02 16:10,2024-07-02 10:30,2024-07-02 10:40,FREEBIES FOR BUYERS ONLY (2),,5,5,1
240702H2C4CPMY,Completed,788915094661,Standard Local-J&T Express,pickup,2024-07-25 10:41,2024-07-02 16:10,2024-07-02 10:31,2024-07-02 10:41,FREEBIES FOR BUYERS ONLY (2),,5,5,1
240702HGWC5KBB,Completed,788913366737,Standard Local-J&T Express,pickup,2024-07-03 15:01,2024-07-03 14:05,2024-07-02 14:51,2024-07-02 15:01,85ML ANNEY PERFUME RESELLER PACKAGE,,1059,1059,1
240702HNCBW6EG,Completed,788917674434,Standard Local-J&T Express,pickup,2024-07-25 16:11,2024-07-03 14:05,2024-07-02 16:11,2024-07-02 16:11,FREEBIES FOR BUYERS ONLY,,5,5,1
240702HNM2WDT1,Completed,SPEPH042127931027,Standard Local-SPX Express,pickup,2024-07-25 16:25,2024-07-03 13:31,2024-07-02 16:15,2024-07-02 16:25,FREEBIES FOR BUYERS ONLY,,5,5,1
240702HXK3P3C0,Completed,788917630370,Standard Local-J&T Express,pickup,2024-07-25 19:06,2024-07-03 14:05,2024-07-02 18:56,2024-07-02 19:06,FREEBIES FOR BUYERS ONLY (2),,5,5,1
240702HYQG4WG8,Completed,SPEPH041200581257,Standard Local-SPX Express,pickup,2024-07-25 19:26,2024-07-03 13:31,2024-07-02 19:16,2024-07-02 19:26,FREEBIES FOR BUYERS ONLY,,5,5,1
240702J12VR2AW,Completed,SPEPH044318049327,Standard Local-SPX Express,pickup,2024-07-13 19:50,2024-07-05 13:28,2024-07-02 19:40,2024-07-02 19:50,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"BROWN/BLACK SHORTS,L-XL (29-34 inches)",290,290,1
240702J6VXGB2B,Completed,SPEPH044195244727,Standard Local-SPX Express,pickup,2024-07-25 21:34,2024-07-03 13:31,2024-07-02 21:24,2024-07-02 21:34,FREEBIES FOR BUYERS ONLY,,5,5,1
