Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
240301VB8TP0S1,Completed,788536419977,Standard Local-J&T Express,pickup,2024-03-13 14:46,2024-03-05 14:20,2024-03-01 14:36,2024-03-01 14:46,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Black,FREESIZE S-L",99,99,1
240301VCJV9Q7B,Completed,788539095301,Standard Local-J&T Express,pickup,2024-03-13 15:09,2024-03-05 14:20,2024-03-01 14:59,2024-03-01 15:09,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240301VJK88QUP,Completed,SPEPH045764880983,Standard Local-SPX Express,pickup,2024-03-13 16:57,2024-03-11 14:38,2024-03-01 16:47,2024-03-01 16:57,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Offwhite,FREESIZE S-L",99,99,1
240301VP5PE056,Completed,SPEPH040931967673,Standard Local-SPX Express,pickup,2024-03-13 18:01,2024-03-11 14:38,2024-03-01 17:51,2024-03-01 18:01,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
240301VRBDYY5D,Completed,788540148285,Standard Local-J&T Express,pickup,2024-03-25 18:30,2024-03-10 15:26,2024-03-01 18:30,2024-03-01 18:30,ASSORTED TOPS (50-100 PCS),,10,10,1
240301VRCTU2E3,Completed,788540242236,Standard Local-J&T Express,pickup,2024-03-25 18:31,2024-03-10 15:26,2024-03-01 18:31,2024-03-01 18:31,ASSORTED TOPS (50-100 PCS),,10,10,1
240301W0JC9Q4C,Completed,788549002379,Standard Local-J&T Express,pickup,2024-03-25 20:57,2024-03-13 13:11,2024-03-01 20:57,2024-03-01 20:57,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1
240301W1NW0RJ0,Completed,SPEPH042234479633,Standard Local-SPX Express,pickup,2024-03-13 21:27,2024-03-11 14:38,2024-03-01 21:17,2024-03-01 21:27,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
240301W1NW0RJ0,Completed,SPEPH042234479633,Standard Local-SPX Express,pickup,2024-03-13 21:27,2024-03-11 14:38,2024-03-01 21:17,2024-03-01 21:27,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Black,FREESIZE S-L",99,99,1
2403020E1S43DP,Completed,SPEPH040929402133,Standard Local-SPX Express,pickup,2024-03-14 02:08,2024-03-11 14:38,2024-03-02 01:58,2024-03-02 02:08,GANNI DUPE RUCHED RIBBON TOP || beautique.ph,"Offwhite,M",180,180,1
2403021DD4FKUD,Completed,788541760666,Standard Local-J&T Express,pickup,2024-03-14 11:29,2024-03-05 14:20,2024-03-02 11:19,2024-03-02 11:29,Premium Assorted Tops (WELLA MAE),,1367,1367,1
2403021DRGQKR9,Completed,SPEPH043547904753,Standard Local-SPX Express,pickup,2024-03-26 11:25,2024-03-11 14:37,2024-03-02 11:25,2024-03-02 11:25,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
2403021NU2UEVP,Completed,788540001618,Standard Local-J&T Express,pickup,2024-03-14 14:00,2024-03-05 14:20,2024-03-02 13:50,2024-03-02 14:00,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
2403022EHXFFE1,Completed,SPEPH042937646823,Standard Local-SPX Express,pickup,2024-03-14 21:22,2024-03-11 14:38,2024-03-02 21:12,2024-03-02 21:22,BARBARA RUFFLE SLEEVES TOP BARK CREPE FABRIC,"Maroon,FREESIZE S-L",99,99,1
