Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Order Complete Time
2405016SJGEQDK,Completed,SPEPH048561668225,Standard Local-SPX Express,pickup,2024-05-24 11:43,2024-05-03 12:38,2024-05-01 11:33,2024-05-01 11:43,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 22:11
24050172FTXRK4,Completed,SPEPH047699558715,Standard Local-SPX Express,pickup,2024-05-24 14:13,2024-05-02 12:49,2024-05-01 14:13,2024-05-01 14:13,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-03 23:23
2405017B6NGCHU,Completed,788760161147,Standard Local-J&T Express,pickup,2024-05-24 16:49,2024-05-04 13:17,2024-05-01 16:49,2024-05-01 16:49,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-06 08:43
2405017C6E5PF4,Completed,788748532266,Standard Local-J&T Express,pickup,2024-05-24 17:17,2024-05-02 12:51,2024-05-01 17:07,2024-05-01 17:17,ASSORTED TOPS LINK FOR BUYERS,,10,10,1,10,2024-05-07 10:05
2405017EJC5HQ7,Completed,SPEPH044119472955,Standard Local-SPX Express,pickup,2024-05-24 17:59,2024-05-02 12:49,2024-05-01 17:49,2024-05-01 17:59,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-09 14:10
2405017EMB1HDJ,Completed,SPEPH042596286455,Standard Local-SPX Express,pickup,2024-05-24 18:00,2024-05-03 12:38,2024-05-01 17:50,2024-05-01 18:00,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-05 19:15
2405017ETK9VKX,Completed,P61184JRUPECV,Standard Local-Flash Express,pickup,2024-05-24 18:04,2024-05-02 14:12,2024-05-01 17:54,2024-05-01 18:04,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-03 20:02
2405017EV4XRT1,Completed,788754730417,Standard Local-J&T Express,pickup,2024-05-24 18:04,2024-05-04 13:17,2024-05-01 17:54,2024-05-01 18:04,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-09 09:53
2405017F05MWHF,Completed,SPEPH040375335515,Standard Local-SPX Express,pickup,2024-05-24 17:57,2024-05-03 12:38,2024-05-01 17:57,2024-05-01 17:57,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-06 08:17
2405017FN6X8ST,Completed,SPEPH046190586465,Standard Local-SPX Express,pickup,2024-05-24 18:09,2024-05-03 12:39,2024-05-01 18:08,2024-05-01 18:09,ASSORTED TOPS LINK FOR BUYERS,,10,10,1,10,2024-05-13 08:45
2405017W5A8J7Q,Completed,SPEPH048003162585,Standard Local-SPX Express,pickup,2024-05-24 22:20,2024-05-03 12:38,2024-05-01 22:10,2024-05-01 22:20,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 21:25
2405028YVAA0JS,Completed,788757845724,Standard Local-J&T Express,pickup,2024-05-25 08:41,2024-05-04 13:17,2024-05-02 08:31,2024-05-02 08:41,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-07 12:03
2405029B1YB8AT,Completed,788756241216,Standard Local-J&T Express,pickup,2024-05-25 11:52,2024-05-04 13:17,2024-05-02 11:51,2024-05-02 11:52,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-06 05:33
2405029HJDAC09,Completed,SPEPH048216388245,Standard Local-SPX Express,pickup,2024-05-25 13:58,2024-05-04 13:08,2024-05-02 13:48,2024-05-02 13:58,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-13 10:24
2405029J1EY5NU,Completed,788753344859,Standard Local-J&T Express,pickup,2024-05-25 14:06,2024-05-04 13:17,2024-05-02 13:56,2024-05-02 14:06,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 21:59
2405029PQHQ2DX,Completed,SPEPH043569854815,Standard Local-SPX Express,pickup,2024-05-25 15:30,2024-05-04 13:08,2024-05-02 15:20,2024-05-02 15:30,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-07 19:28
2405029PQW482H,Completed,SPEPH044624164755,Standard Local-SPX Express,pickup,2024-05-25 15:31,2024-05-03 12:38,2024-05-02 15:21,2024-05-02 15:31,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-07 17:37
2405029RQP0PTV,Completed,P62064JTTCNAA,Standard Local-Flash Express,pickup,2024-05-25 16:06,2024-05-03 14:20,2024-05-02 15:56,2024-05-02 16:06,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-07 11:31
2405029SUDDBH3,Completed,SPEPH047050310405,Standard Local-SPX Express,pickup,2024-05-25 16:16,2024-05-04 13:08,2024-05-02 16:16,2024-05-02 16:16,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-06 19:15
2405029W0ECB6V,Completed,788761726311,Standard Local-J&T Express,pickup,2024-05-25 17:13,2024-05-04 13:17,2024-05-02 17:13,2024-05-02 17:13,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-20 10:12
