Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
231101DMXK7693,Completed,SPEPH03060614847B,Standard Local-SPX Express,pickup,2023-11-14 00:42,2023-11-02 14:11,2023-11-01 00:32,2023-11-01 00:42,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,XS-M (21-28 inches)",290,290,1
231101E6UBV7QG,Completed,787476454203,Standard Local-J&T Express,pickup,2023-11-14 06:03,2023-11-02 11:36,2023-11-01 05:53,2023-11-01 06:03,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black&White Skirt,XS-M (21-28 inches)",290,290,1
231101EUUNVRHS,Completed,SPEPH03400800234B,Standard Local-SPX Express,pickup,2023-11-14 12:19,2023-11-02 14:11,2023-11-01 12:09,2023-11-01 12:19,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL (29-34 inches)",290,290,1
231101F3TU7Q8X,Completed,SPEPH03800596832B,Standard Local-SPX Express,pickup,2023-11-14 14:32,2023-11-02 14:11,2023-11-01 14:31,2023-11-01 14:32,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
231101FKVCY9B8,Completed,SPEPH03625578702B,Standard Local-SPX Express,pickup,2023-11-14 19:29,2023-11-03 13:49,2023-11-01 19:19,2023-11-01 19:29,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL (29-34 inches)",290,290,1
231101FKVCY9B8,Completed,SPEPH03625578702B,Standard Local-SPX Express,pickup,2023-11-14 19:29,2023-11-03 13:49,2023-11-01 19:19,2023-11-01 19:29,ZARA KNITTED TUBE TOP,"Black,FREESIZE (S-L)",69,69,1
231101FNDXTXTR,Completed,SPEPH03591929776B,Standard Local-SPX Express,pickup,2023-11-28 19:47,2023-11-09 18:41,2023-11-01 19:46,2023-11-01 19:47,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
231101FX5EFNA5,Completed,SPEPH03899424077B,Standard Local-SPX Express,pickup,2023-11-25 22:33,2023-11-03 13:49,2023-11-01 22:23,2023-11-01 22:33,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
231102GTFXC41Q,Completed,SPEPH03090317986B,Standard Local-SPX Express,pickup,2023-11-06 07:00,2023-11-03 13:49,2023-11-02 06:50,2023-11-02 07:00,PLAIN MIDI SKIRT 22-30 INCHES (WITH & WITHOUT SLIT),"HAZELNUT,NO SLIT",149,149,1
231102H4H9T7SE,Completed,SPEPH03156261289B,Standard Local-SPX Express,pickup,2023-11-15 09:59,2023-11-03 13:49,2023-11-02 09:49,2023-11-02 09:59,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
231102H5PNS3BJ,Completed,SPEPH03620530960B,Standard Local-SPX Express,pickup,2023-11-15 10:20,2023-11-03 13:49,2023-11-02 10:10,2023-11-02 10:20,ZARA STRAPPY TOP KNITTED,"Nude,FREESIZE (S-L)",69,69,1
231102H5PNS3BJ,Completed,SPEPH03620530960B,Standard Local-SPX Express,pickup,2023-11-15 10:20,2023-11-03 13:49,2023-11-02 10:10,2023-11-02 10:20,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,L-XL (29-34 inches)",290,290,1
231102H5VFQKCM,Completed,SPEPH03720066648B,Standard Local-SPX Express,pickup,2023-11-06 10:14,2023-11-03 13:49,2023-11-02 10:14,2023-11-02 10:14,ZARA STRAPPY TOP KNITTED,"Lilac,FREESIZE (S-L)",69,69,1
231102HBGKR0MY,Completed,SPEPH03285523382B,Standard Local-SPX Express,pickup,2023-11-28 11:54,2023-11-06 15:01,2023-11-02 11:54,2023-11-02 11:54,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
231102HM28D2JS,Completed,SPEPH03565702262B,Standard Local-SPX Express,pickup,2023-11-15 14:37,2023-11-03 13:49,2023-11-02 14:27,2023-11-02 14:37,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL (29-34 inches)",290,290,1
231102HN509CXG,Completed,SPEPH03021831272B,Standard Local-SPX Express,pickup,2023-11-15 14:57,2023-11-03 13:49,2023-11-02 14:47,2023-11-02 14:57,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,L-XL (29-34 inches)",290,290,1
231103KQRY9JE3,Completed,SPEPH03046460264B,Standard Local-SPX Express,pickup,2023-11-15 10:49,2023-11-05 13:58,2023-11-03 10:39,2023-11-03 10:49,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
231103M7CKMAT4,Completed,787607706383,Standard Local-J&T Express,pickup,2023-11-11 15:28,2023-11-06 12:46,2023-11-03 15:18,2023-11-03 15:28,10 PCS ZARA STRAPPY BUNDLE (RANDOM COLORS/FREESIZE),,400,400,1
231103MBWR1BGR,Completed,SPEPH03844296832B,Standard Local-SPX Express,pickup,2023-11-06 16:50,2023-11-05 13:58,2023-11-03 16:40,2023-11-03 16:50,PLAIN MIDI SKIRT 22-30 INCHES (WITH & WITHOUT SLIT),"HAZELNUT,NO SLIT",149,149,1
231103ME5KDDK4,Completed,SPEPH03867721086B,Standard Local-SPX Express,pickup,2023-11-06 17:30,2023-11-05 13:58,2023-11-03 17:20,2023-11-03 17:30,ZARA STRAPPY TOP KNITTED,"Cream,FREESIZE (S-L)",69,69,1
231103MS2TJYVD,Completed,SPEPH03837740609B,Standard Local-SPX Express,pickup,2023-11-06 20:45,2023-11-05 13:58,2023-11-03 20:35,2023-11-03 20:45,PLAIN MIDI SKIRT 22-30 INCHES (WITH & WITHOUT SLIT),"ARMY,NO SLIT",149,149,1
231103MXGHGUTQ,Completed,SPEPH03620249895B,Standard Local-SPX Express,pickup,2023-11-15 22:12,2023-11-05 13:58,2023-11-03 22:12,2023-11-03 22:12,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,L-XL (29-34 inches)",290,290,1
231104N97TUCN3,Completed,787605672693,Standard Local-J&T Express,pickup,2023-11-16 01:34,2023-11-06 12:46,2023-11-04 01:24,2023-11-04 01:34,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
231104NVV92E2J,Completed,SPEPH03874812160B,Standard Local-SPX Express,pickup,2023-11-07 07:26,2023-11-05 13:58,2023-11-04 07:16,2023-11-04 07:26,ZARA STRAPPY TOP KNITTED,"White,FREESIZE (S-L)",69,69,1
