Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal
2309015RBUBS8U,Completed,SPEPH037504323839,Standard Local-SPX Express,pickup,2023-09-13 00:19,2023-09-01 13:39,2023-09-01 00:19,2023-09-01 00:19,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Shorts(New),XS-M (21-28 inches)",290,290,1,290
23090160ABNBKQ,Completed,SPEPH036845023929,Standard Local-SPX Express,pickup,2023-09-04 02:51,2023-09-01 13:39,2023-09-01 02:41,2023-09-01 02:51,KENDALL KOREAN KNITTED TUBE DRESS,"Hazelnut,Freesize (S-L)",149,149,1,149
23090160ABNBKQ,Completed,SPEPH036845023929,Standard Local-SPX Express,pickup,2023-09-04 02:51,2023-09-01 13:39,2023-09-01 02:41,2023-09-01 02:51,AMELIA OVERLAP TUBE ROMPER || beautique.ph,"Choco,FREESIZE S-M",199,199,1,199
2309016DNPEFPM,Completed,SPEPH032516141779,Standard Local-SPX Express,pickup,2023-09-13 06:50,2023-09-01 13:39,2023-09-01 06:40,2023-09-01 06:50,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,L-XL (29-34 inches)",290,290,1,290
2309016KGQNC8T,Completed,SPEPH038589116829,Standard Local-SPX Express,pickup,2023-09-04 08:35,2023-09-01 13:39,2023-09-01 08:25,2023-09-01 08:35,AMELIA OVERLAP TUBE ROMPER || beautique.ph,"White,FREESIZE S-M",199,199,1,199
2309016W8SMPW1,Completed,SPEPH031236469709,Standard Local-SPX Express,pickup,2023-09-04 11:20,2023-09-01 13:39,2023-09-01 11:19,2023-09-01 11:20,KENDALL KOREAN KNITTED TUBE DRESS,"Hazelnut,Freesize (S-L)",149,149,1,149
230901708C307C,Completed,SPEPH034257691909,Standard Local-SPX Express,pickup,2023-09-04 12:23,2023-09-02 12:40,2023-09-01 12:13,2023-09-01 12:23,ZARA KNITTED TUBE TOP,"Khaki,FREESIZE (S-L)",69,69,1,69
23090174D1SQXU,Completed,787101075029,Standard Local-J&T Express,pickup,2023-09-13 13:37,2023-09-02 13:05,2023-09-01 13:27,2023-09-01 13:37,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1,5
230901752HC8N0,Completed,787100490980,Standard Local-J&T Express,pickup,2023-09-09 13:39,2023-09-02 13:05,2023-09-01 13:39,2023-09-01 13:39,TWEED COORDS/DRESS CHECKOUT (5 sets),,10,10,1,10
2309017AC8M2VW,Completed,SPEPH036858416709,Standard Local-SPX Express,pickup,2023-09-13 15:24,2023-09-08 15:26,2023-09-01 15:14,2023-09-01 15:24,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL (29-34 inches)",290,290,1,290
2309017APEPX5P,Completed,SPEPH030690522339,Standard Local-SPX Express,pickup,2023-09-13 15:30,2023-09-08 15:25,2023-09-01 15:20,2023-09-01 15:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1,290
2309017H064J13,Completed,SPEPH039611432629,Standard Local-SPX Express,pickup,2023-09-13 17:22,2023-09-02 12:40,2023-09-01 17:12,2023-09-01 17:22,ZARA STRAPPY TOP KNITTED,"Light brown,FREESIZE (S-L)",69,69,1,69
