Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
231001Q0YWMG88,Completed,SPEPH03028998157A,Standard Local-SPX Express,pickup,2023-10-12 00:52,2023-10-01 13:09,2023-10-01 00:42,2023-10-01 00:52,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,L-XL (29-34 inches)",290,290,1
231001QR36F63C,Completed,787298833665,Standard Local-J&T Express,pickup,2023-10-12 07:45,2023-10-02 14:13,2023-10-01 07:35,2023-10-01 07:45,LIVE SELLING (Vanessa R),,5,5,1
231001QRQPJ4RU,Completed,787298844564,Standard Local-J&T Express,pickup,2023-10-12 07:47,2023-10-02 14:13,2023-10-01 07:47,2023-10-01 07:47,LIVE SELLING (Vanessa R),,5,5,1
231001QY6F7P3U,Completed,SPEPH03113423211A,Standard Local-SPX Express,pickup,2023-10-12 09:52,2023-10-01 13:09,2023-10-01 09:42,2023-10-01 09:52,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1
231001R2EEK1RX,Completed,SPEPH03487145783A,Standard Local-SPX Express,pickup,2023-10-12 10:41,2023-10-01 13:09,2023-10-01 10:41,2023-10-01 10:41,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,XS-M (21-28 inches)",290,290,1
231001R2EEK1RX,Completed,SPEPH03487145783A,Standard Local-SPX Express,pickup,2023-10-12 10:41,2023-10-01 13:09,2023-10-01 10:41,2023-10-01 10:41,ZARA KNITTED TUBE TOP,"Black,FREESIZE (S-L)",69,69,1
231001R31D4GM6,Completed,SPEPH03512562456A,Standard Local-SPX Express,pickup,2023-10-03 11:01,2023-10-01 13:09,2023-10-01 10:51,2023-10-01 11:01,ZARA KNITTED TUBE TOP,"Oatmeal,FREESIZE (S-L)",69,69,1
231001R31D4GM6,Completed,SPEPH03512562456A,Standard Local-SPX Express,pickup,2023-10-03 11:01,2023-10-01 13:09,2023-10-01 10:51,2023-10-01 11:01,ZARA KNITTED TUBE TOP,"Black,FREESIZE (S-L)",69,69,1
231001R35FS0W9,Completed,787298868126,Standard Local-J&T Express,pickup,2023-10-09 10:54,2023-10-02 14:13,2023-10-01 10:54,2023-10-01 10:54,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
231001R4D45Y76,Completed,SPEPH03265133891A,Standard Local-SPX Express,pickup,2023-10-12 11:16,2023-10-01 13:09,2023-10-01 11:16,2023-10-01 11:16,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1
231001R8P2AD5E,Completed,787300625230,Standard Local-J&T Express,pickup,2023-10-09 12:33,2023-10-03 12:02,2023-10-01 12:32,2023-10-01 12:33,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1
